Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
1,"Al-Sulaimani et al. (1990), IV #1",Control,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,450,650,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,300,,47,7.05,99.79,5.62,125.45,,,,,Flexural-bending (ductile),"Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
2,"Al-Sulaimani et al. (1990), IV #2",Control,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,450,650,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,300,,47.2,7.08,100.21,5.62,125.99,,,,,Flexural-bending (ductile),"Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
3,"Al-Sulaimani et al. (1990), IV #3",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,450,650,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,Control,0,0,0,3.5,0,N/A,0,0,0,300,26.44,47,7.05,99.79,5.62,125.45,2.19,10.53,12.07,4.81,Flexural-bending (ductile),Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged.
4,"Al-Sulaimani et al. (1990), IV #4",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,444.07,642.51,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,0.5,3.5,150,N/A,0.72,1000,0.022,300,,47.3,7.1,100.42,5.62,126.25,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
5,"Al-Sulaimani et al. (1990), IV #5",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,437.65,634.4,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,0.8,3.5,150,N/A,1.5,1000,0.045,300,,46.8,7.02,99.36,5.62,124.92,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
6,"Al-Sulaimani et al. (1990), IV #6",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,435.59,631.8,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,0.8,3.5,150,N/A,1.75,1000,0.053,300,,46.1,6.92,97.88,5.62,123.05,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
7,"Al-Sulaimani et al. (1990), IV #7",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,434.68,630.66,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,1,3.5,150,N/A,1.86,1000,0.056,300,,46.3,6.95,98.3,5.62,123.58,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
8,"Al-Sulaimani et al. (1990), IV #8",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,433.86,629.62,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,1,3.5,150,N/A,1.96,1000,0.059,300,,45.6,6.84,96.82,5.62,121.71,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
9,"Al-Sulaimani et al. (1990), IV #9",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,427.35,621.4,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,1.8,3.5,150,N/A,2.75,1000,0.083,300,,44,6.6,93.42,5.62,117.44,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
10,"Al-Sulaimani et al. (1990), IV #10",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,419.12,611,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,2.3,3.5,150,N/A,3.75,1000,0.113,300,,42.1,6.32,89.38,5.62,112.37,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
